name,img,ranking,score,population,info,year,quote
熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,20,9.3,809870,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
                            2011 / 韩国 / 剧情
                        ",2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,21,9.3,814882,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972 / 美国 / 剧情 犯罪
                        ",1972,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,22,9.1,1320290,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        ",2006,平民励志片。 
龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,23,9.2,1102448,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻 冒险
                        ",1988,人人心中都有个龙猫，童年就永远不会消失。
控方证人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,24,9.6,407112,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
                            1957 / 美国 / 剧情 犯罪 悬疑
                        ",1957,比利·怀德满分作品。
怦然心动,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,25,9.1,1577547,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        ",2010,真正的幸福是来自内心深处。
触不可及,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,26,9.3,890807,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧
                        ",2011,满满温情的高雅喜剧。
末代皇帝,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,27,9.3,719913,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        ",1987,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
蝙蝠侠：黑暗骑士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,28,9.2,904798,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",2008,无尽的黑暗。
寻梦环游记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,29,9.1,1392698,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        ",2017,死亡不是真的逝去，遗忘才是永恒的消亡。
