,title,link,view,uploader,upload time
32,当蔡徐坤打球遇上金色年华会怎么样,//www.bilibili.com/video/BV1Nb411s7ud?from=search&seid=16930653558836270279,"
        969
      ",柏木铃音_,"
        2019-03-30
      "
33,力元君删了240万播放量的模仿蔡徐坤打球的视频后......,//www.bilibili.com/video/BV12b411K77G?from=search&seid=16930653558836270279,"
        136.1万
      ",HYT0503,"
        2019-04-13
      "
34,沙雕游戏：蔡徐坤打球被制作成游戏？网友：小心律师函警告！,//www.bilibili.com/video/BV1K4411b7wZ?from=search&seid=16930653558836270279,"
        1.3万
      ",大侦探游戏解说,"
        2019-04-26
      "
35,【哲学火焰描边】AE制作一个蔡徐坤打球和香蕉君象征自由的燃烧火焰描边,//www.bilibili.com/video/BV1c4411A7Qk?from=search&seid=16930653558836270279,"
        5.1万
      ",是枫叶哟,"
        2019-07-04
      "
36,黑人小哥模仿蔡徐坤打球，天秀！像极了CXK,//www.bilibili.com/video/BV1Rb41177eo?from=search&seid=16930653558836270279,"
        9118
      ",榴恋视频,"
        2019-03-23
      "
37,【赵睿】记者：听说你模仿过蔡徐坤打球？睿：不不不我不认识他，黑睿急忙否认&皮皮睿超级魔性的笑声没谁了,//www.bilibili.com/video/BV1n4411h7CL?from=search&seid=16930653558836270279,"
        9.6万
      ",甜姜爱吃西葫芦,"
        2019-04-26
      "
38,蔡徐坤打球,//www.bilibili.com/video/BV1J5411s7t3?from=search&seid=16930653558836270279,"
        210
      ",lao猫咪清风,"
        2020-05-11
      "
39,蔡徐坤打球的确很强...太太太难模仿他了！,//www.bilibili.com/video/BV1Kb411t75G?from=search&seid=16930653558836270279,"
        27.3万
      ",比比老师,"
        2019-03-27
      "
40,【定格动画】听说这个蜘蛛侠打球很蔡？   #爆肝还原蔡徐坤打球,//www.bilibili.com/video/BV1gb41137te?from=search&seid=4147694052154110212,"
        2.9万
      ",LanmanVan,"
        2019-04-05
      "
41,【转载】篮球天才蔡徐坤打球原版视频.,//www.bilibili.com/video/BV1Ab411u7qw?from=search&seid=4147694052154110212,"
        2996
      ",Chr1sF,"
        2019-04-07
      "
42,当山下智博看了蔡徐坤打球之后,//www.bilibili.com/video/BV12441187LF?from=search&seid=4147694052154110212,"
        8.5万
      ",36气温,"
        2019-04-24
      "
43,神仙蔡徐坤打球,//www.bilibili.com/video/BV1ob411p7Kb?from=search&seid=4147694052154110212,"
        2454
      ",YZYkimoji,"
        2019-04-02
      "
44,翻书动画蔡徐坤打球,//www.bilibili.com/video/BV1jJ411s7Xm?from=search&seid=4147694052154110212,"
        328
      ",真-佚名,"
        2019-12-22
      "
45,当元首知道了蔡徐坤打球的时候,//www.bilibili.com/video/BV1vb411j7z9?from=search&seid=4147694052154110212,"
        4874
      ",赫小列塔,"
        2019-04-16
      "
46,当著名NBA2K油管Up主Cashnasty看到蔡徐坤打球,//www.bilibili.com/video/BV14b411G7Qj?from=search&seid=4147694052154110212,"
        14.5万
      ",油管小王子Terry,"
        2019-04-23
      "
47,潮汕话（配音）蔡徐坤打球视频,//www.bilibili.com/video/BV1U4411P7mZ?from=search&seid=4147694052154110212,"
        3082
      ",孔雀艺耀,"
        2019-06-13
      "
48,蔡徐坤打球视频，好帅啊（滑稽）,//www.bilibili.com/video/BV1Ub411G7Df?from=search&seid=4147694052154110212,"
        585
      ",小成君L,"
        2019-04-19
      "
49,蔡徐坤打球完整版,//www.bilibili.com/video/BV19V411U7wv?from=search&seid=4147694052154110212,"
        201
      ",某鸭梨人,"
        2020-08-17
      "
50,谁敢说蔡徐坤打球菜的，喷子们给我进来看好了,//www.bilibili.com/video/BV1kb411H7di?from=search&seid=4147694052154110212,"
        7010
      ",又酸又菜的咸鱼,"
        2019-03-15
      "
51,两个蔡徐坤在打球,//www.bilibili.com/video/BV1rJ411a7y1?from=search&seid=4147694052154110212,"
        274
      ",胡拉,"
        2019-12-29
      "
52,当你使用颜色反转看蔡徐坤打球,//www.bilibili.com/video/BV1s4411R7mN?from=search&seid=4147694052154110212,"
        1015
      ",xlwaw,"
        2019-08-23
      "
